model_label,supervision,display_name,folder_name,split,metric,value,ci_low,ci_high,ci_half_width,n_samples,n_bootstrap
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,JSD,0.35607410929339744,0.353114657652477,0.3591040021342683,0.0029946722408956405,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,KLD,1.7041278368393642,1.67843348382133,1.730341974231638,0.025954245205153992,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,Valence CCC,0.44950338328451395,0.4353662251034535,0.4635708917410317,0.014102333318789101,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,Activation CCC,0.514943620616025,0.5021352822614554,0.5273599842871179,0.012612351012831258,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,Dominance CCC,0.39075270034488846,0.37642551506408645,0.40446329578028783,0.014018890358100694,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,Mean CCC,0.4517332347484759,0.44156367298196286,0.46157932734590207,0.010007827181969603,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,Macro-F1,21.016968721187425,20.39071557802152,26.53429689549987,3.071790658739175,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,UAR,22.143732367373488,21.491339651708117,22.80703080071134,0.6578455745016101,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,Accuracy,49.65591688031305,48.839562812036164,50.45203076507894,0.8062339765213866,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,F1Other,0.851063829787234,0.0,1.9417475728155338,0.9708737864077669,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,JSD,0.21139568796495392,0.20964987260611062,0.21317667760457035,0.001763402499229863,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,KLD,0.914378978413544,0.9052884322156904,0.9235761097312465,0.009143838757778022,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,Valence CCC,0.46883527951905973,0.45487636913187984,0.4828646535803068,0.013994142224213468,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,Activation CCC,0.5120302576113012,0.49924816087818097,0.5243225493002234,0.012537194211021202,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,Dominance CCC,0.3832122684469619,0.36891444608481094,0.3967797753208611,0.013932664618025087,14822,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test2,Mean CCC,0.4546926018591076,0.444621401863626,0.4645064683649078,0.0099425332506409,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,Macro-F1,21.626281836169962,20.907004130550547,22.34186547960926,0.7174306745293568,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,UAR,22.715493258299777,21.664330071219347,23.79611748467441,1.0658937067275331,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,Accuracy,39.84617460531642,39.06355417622453,40.63571043044123,0.78607812710835,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,F1Other,9.281267685342389,7.434012249659731,11.156414719432222,1.8612012348862457,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,JSD,0.23924488158389892,0.2374924069153986,0.24107073259827866,0.0017891628414400257,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,KLD,0.9501846286339068,0.9417471717984603,0.958918777265646,0.008585802733592829,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,Valence CCC,0.4646626489141817,0.4509762613102715,0.47835325819797736,0.01368849844385292,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,Activation CCC,0.522805425752439,0.510431264638944,0.5348570106252881,0.012212872993172086,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,Dominance CCC,0.397614510201308,0.38355467823815353,0.4110521205092298,0.013748721135538128,14822,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test2,Mean CCC,0.46169419495597624,0.451846120158943,0.4712523603673593,0.009703120104208152,14822,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test2,Macro-F1,28.15774753375496,27.184229641081682,32.626704190665336,2.721237274791827,14822,10000
